iter	Passed	Remaining
0	55	55780
1	56	28000
2	56	18733
3	56	14097
4	56	11314
5	57	9461
6	57	8138
7	57	7145
8	57	6371
9	58	5752
10	58	5253
11	58	4831
12	58	4479
13	59	4173
14	59	3907
15	59	3674
16	59	3467
17	60	3284
18	60	3120
19	60	2974
20	60	2841
21	61	2719
22	61	2609
23	61	2508
24	61	2417
25	62	2332
26	62	2254
27	62	2183
28	63	2113
29	63	2050
30	63	1990
31	63	1933
32	64	1881
33	64	1832
34	64	1784
35	65	1741
36	65	1700
37	65	1660
38	65	1623
39	66	1586
40	66	1551
41	66	1518
42	66	1486
43	67	1456
44	67	1427
45	67	1400
46	67	1373
47	67	1348
48	68	1325
49	68	1301
50	68	1279
51	68	1257
52	69	1236
53	69	1216
54	69	1197
55	69	1179
56	70	1162
57	70	1145
58	70	1128
59	70	1111
60	71	1096
61	71	1081
62	71	1066
63	71	1052
64	72	1038
65	72	1025
66	72	1011
67	72	999
68	73	987
69	73	975
70	73	963
71	73	952
72	74	941
73	74	930
74	74	919
75	74	909
76	75	900
77	75	891
78	75	882
79	75	872
80	76	863
81	76	854
82	76	844
83	76	835
84	76	828
85	77	821
86	77	813
87	77	806
88	78	798
89	78	791
90	78	784
91	78	777
92	78	770
93	79	763
94	79	756
95	79	750
96	79	743
97	80	737
98	80	731
99	80	725
100	80	720
101	81	714
102	81	708
103	81	703
104	81	697
105	82	692
106	82	687
107	82	681
108	82	676
109	83	671
110	83	666
111	83	662
112	83	657
113	84	652
114	84	648
115	84	643
116	84	638
117	84	634
118	85	630
119	85	626
120	85	622
121	85	617
122	86	613
123	86	609
124	86	605
125	86	601
126	86	597
127	87	593
128	87	590
129	87	586
130	87	583
131	88	579
132	88	575
133	88	572
134	88	569
135	89	565
136	89	562
137	89	559
138	89	556
139	90	552
140	90	549
141	90	546
142	90	542
143	90	540
144	91	537
145	91	534
146	91	532
147	91	529
148	92	526
149	92	523
150	92	520
151	92	518
152	93	515
153	93	512
154	93	510
155	93	507
156	94	504
157	94	502
158	94	499
159	94	497
160	94	494
161	95	491
162	95	489
163	95	486
164	95	484
165	95	482
166	96	479
167	96	477
168	96	475
169	96	473
170	97	471
171	97	468
172	97	466
173	97	464
174	98	462
175	98	460
176	98	458
177	98	456
178	99	454
179	99	452
180	99	450
181	99	448
182	99	446
183	100	444
184	100	442
185	100	440
186	100	438
187	101	436
188	101	434
189	101	433
190	101	431
191	102	429
192	102	427
193	102	425
194	102	424
195	103	422
196	103	420
197	103	419
198	103	417
199	104	416
200	104	414
201	104	412
202	104	411
203	104	409
204	105	407
205	105	406
206	105	405
207	105	403
208	106	402
209	106	400
210	106	399
211	106	397
212	107	396
213	107	394
214	107	393
215	107	391
216	108	390
217	108	388
218	108	387
219	108	386
220	109	384
221	109	383
222	109	382
223	109	380
224	110	379
225	110	378
226	110	376
227	110	375
228	111	374
229	111	372
230	111	371
231	111	370
232	112	368
233	112	367
234	112	366
235	112	364
236	112	363
237	113	362
238	113	361
239	113	359
240	113	358
241	114	357
242	114	356
243	114	355
244	114	354
245	115	353
246	115	351
247	115	350
248	115	349
249	116	348
250	116	347
251	116	346
252	116	344
253	117	343
254	117	342
255	117	341
256	117	340
257	117	339
258	118	338
259	118	337
260	118	336
261	118	334
262	119	333
263	119	332
264	119	331
265	119	330
266	120	329
267	120	328
268	120	327
269	120	326
270	120	325
271	121	324
272	121	323
273	121	322
274	121	321
275	122	320
276	122	319
277	122	318
278	122	317
279	123	316
280	123	315
281	123	314
282	123	314
283	124	313
284	124	312
285	124	311
286	124	310
287	125	309
288	125	308
289	125	307
290	125	306
291	125	305
292	126	304
293	126	303
294	126	302
295	126	301
296	127	300
297	127	300
298	127	299
299	127	298
300	128	297
301	128	296
302	128	295
303	128	295
304	129	294
305	129	293
306	129	292
307	129	291
308	129	290
309	130	289
310	130	288
311	130	288
312	130	287
313	131	286
314	131	285
315	131	284
316	131	283
317	132	283
318	132	282
319	132	281
320	132	280
321	132	279
322	133	279
323	133	278
324	133	277
325	134	277
326	134	276
327	134	275
328	134	274
329	134	273
330	135	273
331	135	272
332	135	271
333	135	270
334	136	270
335	136	269
336	136	268
337	136	268
338	137	267
339	137	266
340	137	265
341	137	265
342	138	264
343	138	263
344	138	263
345	138	262
346	139	261
347	139	260
348	139	260
349	139	259
350	139	258
351	140	257
352	140	257
353	140	256
354	140	255
355	141	255
356	141	254
357	141	253
358	141	253
359	142	252
360	142	251
361	142	251
362	142	250
363	143	249
364	143	249
365	143	248
366	143	247
367	143	247
368	144	246
369	144	245
370	144	245
371	144	244
372	145	243
373	145	243
374	145	242
375	145	242
376	146	241
377	146	240
378	146	240
379	146	239
380	147	238
381	147	238
382	147	237
383	147	236
384	147	236
385	148	235
386	148	235
387	148	234
388	148	233
389	149	233
390	149	232
391	149	232
392	149	231
393	150	230
394	150	230
395	150	229
396	150	229
397	151	228
398	151	227
399	151	227
400	151	226
401	151	226
